iter	Logloss
389	0.2033440053
390	0.2031163839
391	0.2026650225
392	0.2021549408
393	0.2018605566
394	0.2016993021
395	0.2016119325
396	0.2012557857
397	0.2009847571
398	0.200675065
399	0.200501819
400	0.2003346515
401	0.2001430386
402	0.1997754313
403	0.1994485963
404	0.1988855437
405	0.1985260955
406	0.1982206457
407	0.1978782268
408	0.197728564
409	0.1975459505
410	0.1973186589
411	0.1967758913
412	0.1964699961
413	0.1964201956
414	0.1959821163
415	0.19571067
416	0.1952155033
417	0.1948275462
418	0.1947136308
419	0.194370576
420	0.1941303885
421	0.1938835126
422	0.1935996528
423	0.1933607489
424	0.1932188483
425	0.192941804
426	0.1929331603
427	0.1929234135
428	0.1925599371
429	0.1923516999
430	0.1917115953
431	0.1914940522
432	0.1912362275
433	0.1909497522
434	0.1908305415
435	0.1906977215
436	0.1903042161
437	0.1900489739
438	0.1896626978
439	0.1893375743
440	0.1890399459
441	0.1888601457
442	0.1884896357
443	0.1882016721
444	0.1879506146
445	0.1874942677
446	0.1873025491
447	0.1870913961
448	0.1867702087
449	0.1862108042
450	0.1859121411
451	0.1856790178
452	0.1853072232
453	0.1849414712
454	0.1844829938
455	0.18413673
456	0.1839777379
457	0.1837230971
458	0.1834385484
459	0.1831676561
460	0.1828664294
461	0.1827289304
462	0.1825662433
463	0.1823114665
464	0.1820712411
465	0.1818292724
466	0.1815643282
467	0.1812747729
468	0.1810278096
469	0.1808828549
470	0.1805814771
471	0.180383907
472	0.1800890543
473	0.1799188911
474	0.1796653753
475	0.179576782
476	0.179327859
477	0.1791637772
478	0.1789235287
479	0.1786982624
480	0.1784493541
481	0.1780677653
482	0.1777949759
483	0.17764944
484	0.1773078257
485	0.1770984804
486	0.1766118637
487	0.1762151728
488	0.1757623019
489	0.1754699828
490	0.1750596982
491	0.1746640619
492	0.174243462
493	0.1740689485
494	0.1738612606
495	0.1736039272
496	0.173353908
497	0.1729603874
498	0.1727239333
499	0.172462679
